P1,P2,P3,V1,V2,V3
9.879465447788455,6.538903381769576,7.408923553118858,4.554004632334321,9.599121576070036,9.74427518067089
9.001057832593682,0.1924925825732604,5.597627267556332,5.0884591313146394,-7.395172769339755,-8.04255059510649
3.110207202276821,6.46453707556433,4.494333420279074,-8.825682817504436,-1.2471417312168107,-0.7038113103838466
7.858743078396829,2.1605558591867,0.5506274618228013,9.802960520267302,6.866668300285927,-9.553862393153969
8.39238154692448,7.898207082888733,0.2591608973484727,-9.752929574180953,5.230027318170196,1.790706431346262
9.227613995201793,5.675192551788651,8.665741212400434,9.737037556329767,-9.175929142018362,-4.5633232644586075
0.12150689661504344,1.7532431652571212,8.052977484017042,4.865652188019791,-7.237962063866565,4.1268620639207505
4.694633154099962,4.911457096565522,0.11756436249387714,3.9283766433381864,-9.37346889999226,7.287098048440722
4.098097234544605,1.3424198945921384,9.10949212781212,4.982899740491277,0.7403924082228475,-7.074840205788382
5.485679064206356,1.4692701676056419,6.154761795854967,-6.242143140358061,-3.717776923471572,3.3263054632515114
8.808277742179966,2.491243498021485,7.825851446254616,4.87543975836217,-8.48985253533402,5.137681459922035
0.1651625205110996,5.6105079680349625,7.351147154965161,-8.46390354954308,-8.303272095747246,0.7040123328637797
2.9443142619693043,4.497476147177486,5.232532390745383,-9.653088667939144,8.373366643003845,-9.496620501896738
9.514811946327868,5.942630473750033,6.135849952514287,4.03511699001241,-8.750436194379159,7.363477867828749
3.776196219671788,8.450344081717434,5.259064696581697,-4.753777974619484,8.671940386838962,5.371391715981872
0.530918080343209,8.626260490071747,9.212068926103772,-4.538873533088255,-6.726023313233604,-8.004863530251715
0.1604432239107889,5.792939851084487,5.711618690600494,-6.502403913173273,6.6134478384711635,0.6426164763680831
2.1882058548836483,0.3636862539073493,6.86045344171169,4.132639562495402,-7.014443985078762,6.1990561162993245
6.0826971073043765,0.30910791978412067,0.9186224239986562,9.910284183861677,3.6282814446850473,-5.649893455858135
4.5419369216650365,7.692516807582806,0.18514209714424745,-3.3419281529063483,-3.0814973835543125,4.654012053146223
2.923620668127045,9.170744955798332,1.1064676390164696,6.140679054695642,0.7549408384375393,-9.908701716593777
2.30225248721158,5.16720287270295,2.2766725412572644,7.19076670130039,7.396915624042929,9.453720537372938
1.964609943849751,5.770864027846933,5.850205958325775,6.886648817981484,-5.538944410752114,-8.705933676153188
3.4536180415529625,7.997128305250322,6.149453344140113,5.832474898749808,7.192322770686879,-1.853365148314655
3.643215403330328,9.51818220810244,7.6224431959007735,-6.584599730077068,-0.8567983240148713,-1.231259093082862
9.87047005410879,3.915634897886328,8.85587207112772,5.328602615837534,8.678673882482379,-7.595775315211187
3.7866875551167265,1.5530707185217918,2.5122959847696915,-7.794190010010196,5.5857731275356155,-1.8029542809970511
9.035602592160421,7.372816274390528,7.702240455696262,8.478784142061318,-8.960633522039993,7.376886765111255
1.740599231534894,0.0037088443951371897,9.112646239546775,-8.993080138404723,-7.15200632005619,-1.4369615025230544
9.568520366659547,1.5917955429213826,5.682128578788173,0.3729302844644202,-4.712616874739184,4.7509307317087455
5.634362980379457,4.826598611347018,2.2396251329363217,-6.870539414162109,-9.104397131518231,-3.7883662248160554
2.8598303745964904,0.051258770943670706,2.7027231922725936,1.5697043307517262,-7.361455153810659,5.1115993112373665
0.6593738112289582,5.174828826789428,2.8757565328766734,-0.11600542165671612,-9.892721607704287,-0.5252062331579861
1.2267201287529617,9.965945960911387,5.09573819210665,-1.1625297557362266,8.963373030798536,-7.981255842599122
9.178885482304352,7.787653939998451,3.1977471573208516,1.0944771310719243,-6.438734014750778,-7.936895749821353
1.7292868151693175,5.521800816267693,4.912549926528632,-4.197448368502297,6.938021534423449,-2.1880109641303953
7.662439810549724,3.662534704005905,1.619109331245553,-8.293408131876989,2.8411624764619976,-2.696534445944936
1.5447506857001825,4.24795609782031,0.8731368381909188,-9.646188792666292,-7.7460275038647985,-7.975138504606932
4.4763285831092015,8.953550364924768,7.181789241785406,-7.172276461620375,-1.0361838115381232,-4.7787249892949575
8.221714387211394,7.843067688413782,4.293142367363695,4.095439422994323,7.709044161480115,-2.3275038652142204
4.288439381807328,6.891571630119746,8.400030010642705,8.492320388395314,-3.7210622730237937,-5.3791907907139365
4.285366262472472,2.8043329331681264,3.5216158503674833,-4.899552858868401,4.869913013500247,-0.48733707034646123
7.252050741199985,9.817522340682736,2.8632906282222024,-7.8847546972962945,1.9122684036808835,8.20485279682616
9.89701464021669,3.2873908079905356,5.993987674303806,6.802746731554315,8.189577372366166,1.50722204615799
1.0693199858078217,4.9356176699141905,8.025841876808558,-9.76383339321888,6.381279215470393,3.5306332750005183
7.4997800951232225,6.091993683043321,5.994993457720307,0.7652536078743939,2.1181539546291894,5.86343813906562
9.003108611609017,4.713843136105532,9.085281306451208,0.2972393984783235,-5.112989226059588,1.645723429295142
7.894024590871533,4.501987177855861,5.031873721409193,4.8531089135022185,7.296669141721939,-0.6183835849944703
5.857825452838839,4.705602724880333,4.876624928097205,2.1508624124580393,4.131169807670265,-5.235873179909925
8.926486444403658,3.9321360982590603,4.74238525863504,-5.440793076245205,5.117120694861921,1.86260227005004
3.0832417775858536,2.9687390602649275,6.002844546289331,8.402797144739317,-7.994408820098975,-4.161417679844157
8.623370451235859,7.74495038428083,0.2660627969921958,5.338539394316049,-4.9202467543161195,8.331727669261003
8.226829341018645,1.5967179098277773,2.476387401114387,-7.6449513684144454,4.3325731631922775,-9.204410348411095
8.734978579432925,9.44357195246533,8.437745466551306,2.482055628972324,-7.608017924375865,-2.590686426375875
2.816043835573323,9.769574538669275,7.575552470244694,-3.4182590191730338,6.322008677847343,0.543221037566715
6.434415548009355,0.483182685042266,8.190784405335446,-6.50710322374453,8.80422270683641,1.749018574051302
6.343136070251597,0.06613738866127594,7.190866380646805,-1.1882452008968087,-4.690650794244775,3.17543966265416
